AKT2004;Administrasjon
AKT2005;Kommunikasjon og samhandling
AKT2006;Yrkesliv i aktivitørfag
AKT2007;Tverrfaglig eksamen aktivitør
AKT3004;Aktivitørfaget
AKT3103;Aktivitørfaget, skriftlig
AKV2005;Drift og produksjon
AKV2006;Biologi og miljø
AKV2007;Anlegg og teknikk
AKV2008;Tverrfaglig eksamen akvakultur
AKV3004;Akvakulturfaget
AKV3103;Akvakulturfaget, skriftlig
ALU3004;Aluminiumskonstruksjonsfaget
ALU3103;Aluminiumskonstruksjonsfaget, skriftlig
AMB2005;Ambulansemedisin
AMB2006;Kommunikasjon og samhandling
AMB2007;Yrkesliv i ambulansefag
AMB2008;Tverrfaglig eksamen ambulansefag
AMB3004;Ambulansefaget
AMB3103;Ambulansefaget, skriftlig
AMF3004;Anleggsmaskinførerfaget
AMF3103;Anleggsmaskinførerfaget, skriftlig
AMK2004;Planlegging og kommunikasjon
AMK2005;Reparasjon og vedlikehold
AMK2006;Tverrfaglig eksamen arbeidsmaskiner
AMK2102;Arbeidsmaskiner
AMM3009;Feilsøking, reparasjon og vedlikehold
AMM3010;Dokumentasjon og kontroll
AMM3011;Anleggsmaskinmekanikerfaget
AMM3103;Tverrfaglig eksamen, anleggsmaskinmekanikerfaget
ANG2001;Rammebetingelser for anleggsgartnerarbeid
ANG2002;Anleggsgartnerarbeid
ANG2003;Tverrfaglig eksamen anleggsgartner
ANG3004;Anleggsgartnerfaget
ANG3103;Anleggsgartnerfaget, skriftlig
ANL2004;Sikkerhetsopplæring av masseforflytningsmaskiner
ANL2005;Grunnarbeider
ANL2006;Drift og vedlikehold
ANL2007;Tverrfaglig eksamen anleggsteknikk
APO3005;Helseveiledning i apotek
APO3006;Kommunikasjon og samhandling
APO3007;Yrkesliv i apotekteknikkfaget
APO3008;Tverrfaglig eksamen, apotekteknikk
ARL3001;Anleggsrørleggerfaget
ARL3103;Anleggsrørleggerfaget, skriftlig
ASF3004;Asfaltfaget
ASF3103;Asfaltfaget, skriftlig
AUT2004;Automatiseringssystemer
AUT2005;Elenergisystemer
AUT2006;Tverrfaglig eksamen i automatisering
AUT2102;Automatisering
AUT3005;Automatiseringssystemer
AUT3006;Elenergisystemer
AUT3007;Mekanisk arbeid
AUT3008;Automatiseringsfaget
AUT3103;Automatiseringsfaget, skriftlig
AVI3012;Luftfartøysystemer
AVI3013;Luftfartøysystemer, part 66-13 (B2)
AVI3014;Luftfartøysystemer, part 66-14 (B2)
AVI3015;Vedlikeholdsteknikk
AVI3016;Vedlikeholdsteknikk, part 66-7A(B2)
AVI3017;Vedlikeholdsteknikk, part 66-7A Essay 1(B2)
AVI3018;Vedlikeholdsteknikk, part 66-7A Essay 2(B2)
AVI3019;Flysikkerhet
AVI3020;Flysikkerhet, part 66-9A(B1B2)
AVI3021;Flysikkerhet, part 66-9A Essay(B1B2)
AVI3022;Flysikkerhet, part 66-10(B1B2)
AVI3023;Flysikkerhet, part 66-10 Essay(B1B2)
AVI4004;Avionikerfaget
BAK2001;Råvare, produksjon og kvalitet
BAK2002;Bransje og arbeidsliv
BAK2003;Tverrfaglig eksamen baker og konditor
BAK3004;Bakerfaget
BAK3103;Bakerfaget, skriftlig
BAN3004;Banemontørfaget
BAN3103;Banemontørfaget, skriftlig
BAT1005;Arbeidsmiljø og dokumentasjon
BAT1006;Praktisk yrkesutøvelse
BAT1007;Tverrfaglig eksamen, bygg- og anleggsteknikk, privatister
BBF2004;Produksjon
BBF2005;Materialer og konstruksjon
BBF2006;Tverrfaglig eksamen i båtbyggerfag
BDR3004;Byggdrifterfaget - særløp
BDR3103;Byggdrifterfaget, skriftlig
BET3004;Betongfaget
BET3103;Betongfaget, skriftlig
BFB3004;Brannforebyggerfaget- særløp
BFB3103;Brannforebyggerfaget- skriftlig
BIP3001;Bilpleiefaget
BIP3103;Bilpleiefaget, skriftlig
BKF3004;Bøkkerfaget
BKF3103;Bøkkerfaget, skriftlig
BKO3004;Brønnfaget, komplettering
BKO3103;Brønnfaget, komplettering, skriftlig
BKV3004;Brønnfaget, kveilerøroperasjoner
BKV3103;Brønnfaget, kveilerøroperasjoner, skriftlig
BLA3004;Billakkererfaget
BLA3103;Billakkerarfaget, skriftlig
BLD2004;Produktutvikling, bransjelære og kommunikasjon
BLD2005;Produksjon og arbeidsliv
BLD2006;Tverrfaglig eksamen blomsterdekoratør
BLD3004;Blomsterdekoratørfaget
BLD3103;Blomsterdekoratørfaget, skriftlig
BLK2004;Karosseri- og lakkteknikk
BLK2005;Dokumentasjon og kvalitet
BLK2006;Tverrfaglig eksamen bilskade, lakk og karosseri
BLY3004;Blyglasshåndverkerfaget - særløp
BLY3103;Blyglasshåndverkerfaget, skriftlig
BMF2004;Produktutvikling og kvalitetssikring
BMF2005;Produksjon
BMF2006;Tverrfaglig eksamen børsemaker
BMF2102;Børsemaker
BMF3004;Børsemakerfaget
BMF3103;Børsemakerfaget, skriftlig
BMK3004;Bilfaget, lette kjøretøy
BMK3103;Bilfaget, lette kjøretøy, skriftlig
BMO2001;Dokumentasjon og kommunikasjon
BMO2002;Betong og mur
BMO2003;Tverrfaglig eksamen betong og mur
BNT3004;Buntmakerfaget
BNT3103;Buntmakerfaget, skriftlig
BOR3004;Boreoperatørfaget
BOR3103;Boreoperatørfaget, skriftlig
BRE3004;Brønnfaget, elektriske kabeloperasjoner
BRE3103;Brønnfaget, elektriske kabeloperasjoner, skriftlig
BRH3004;Brønnfaget, havbunnsinstallasjoner
BRH3103;Brønnfaget, havbunnsinstallasjoner, skriftlig
BRM3004;Brønnfaget, mekaniske kabeloperasjoner
BRM3103;Brønnfaget, mekaniske kabeloperasjoner, skriftlig
BRO3004;Brønn- og borefaget
BRO3103;Brønn- og borefaget, skriftlig
BRS3004;Brønnfaget, sementering
BRS3103;Brønnfaget, sementering, skriftlig
BRT2007;Boring
BRT2008;Komplettering og brønnservice
BRT2009;Prosedyrer og praksis
BRT2010;Tverrfaglig eksamen brønnteknikk
BSK3004;Bilskadefaget
BSK3103;Bilskadefaget, skriftlig
BSM3001;Bilsalmakerfaget
BSM3103;Bilsalmakerfaget, skriftlig
BTK3004;Bilfaget, tunge kjøretøy
BTK3103;Bilfaget, tunge kjøretøy, skriftlig
BUA2005;Pedagogisk arbeid
BUA2006;Kommunikasjon og samhandling
BUA2007;Yrkesliv i barne- og ungdomsarbeiderfag
BUA2008;Tverrfaglig eksamen barne- og ungdomsarbeiderfag
BUA3004;Barne- og ungdomsarbeiderfaget
BUA3103;Barne- og ungdomsarbeiderfaget, skriftlig
BUN3004;Bunadtilvirkerfaget
BUN3103;Bunadtilvirkerfaget, skriftlig
BYM3001;Byggmontasjefaget - særløp
BYM3103;Byggmontasjefaget - skriftlig
CNC3004;CNC-maskineringsfaget
CNC3103;CNC-maskineringsfaget, skriftlig
DAN2010;Grunntrening i dans 1
DAN2011;Grunntrening i dans 2
DAN2012;Scenisk dans 1
DAN2013;Scenisk dans 2
DAN2014;Scenisk dans 3
DAN2015;Dans i perspektiv 1
DAN2016;Dans i perspektiv 1, muntlig-praktisk
DAN2017;Dans i perspektiv 2
DAN2018;Dans i perspektiv 2, muntlig-praktisk
DAN3003;Scenisk dans fordypning 1
DAN3004;Scenisk dans fordypning 2
DAT3004;Installering og drift
DAT3005;Reparasjon og vedlikehold
DAT3006;Dataelektronikerfaget
DAT3103;Dataelektronikerfaget, skriftlig
DDU2005;Materialkunnskap, duodji-/duodje-/duedtie-utøvelse og kulturarv
DDU2006;Duodji/duodje/duedtie- og designprosesser
DDU2007;Tverrfaglig eksamen duodji/duodje/duedtie
DEL2004;Elektroniske kretser og utstyr
DEL2005;Data- og informasjonsteknologi
DEL2006;Tverrfaglig eksamen datateknologi og elektronikk
DEL2102;Datateknologi og elektronikk
DGH2004;Gull- og sølvsmedhåndverk
DGH2005;Design og produktutvikling
DGH2006;Tverrfaglig eksamen gull- og sølvsmedhåndverk
DKO3004;Dimensjonskontrollfaget
DKO3103;Dimensjonskontrollfaget, skriftlig
DRA2010;Teater og bevegelse 1
DRA2011;Teater og bevegelse 2
DRA2012;Teaterproduksjon 1
DRA2013;Teaterproduksjon 2
DRA2014;Teater i perspektiv 1
DRA2015;Teater i perspektiv 1, muntlig-praktisk
DRA2016;Teater i perspektiv 2
DRA2017;Teater i perspektiv 2, muntlig-praktisk
DRA2018;Drama og samfunn
DRA3003;Teaterproduksjon fordypning 1
DRA3004;Teaterproduksjon fordypning 2
DRF2001;Operasjon og sikkerhet
DRF2002;Nyttelast, sensorer og bearbeiding av data
DRF2003;Tverrfaglig eksamen dronefag
DRF3001;Droneoperatørfaget
DRF3103;Droneoperatørfaget, skriftlig
DTH1001;Produktutvikling og skapende prosesser
DTH1002;Materialer og teknikker
DTH1003;Tverrfaglig eksamen, håndverk, design og produktutvikling, privatister
DTR2004;Produksjon
DTR2005;Materialkunnskap
DTR2006;Arbeidsplanlegging og tegning
DTR2007;Tverrfaglig eksamen trearbeid
DYR3001;Dyrefaget
DYR3103;Dyrefaget, skriftlig
EKD3001;Produksjon og konseptutvikling
EKD3002;Bedriftskultur og markedsføring
EKD3003;Tverrfaglig eksamen eksponeringsdesign
EKF3001;Ernæringskokkfaget
EKF3103;Ernæringskokkfaget, skriftlig
ELE1006;Elektroniske kretser og nettverk
ELE1007;Energi og styresystemer
ELE1008;Tverrfaglig eksamen, elektro og datateknologi, for privatister
ELE2005;Elenergi og styresystemer
ELE2006;Elektronisk kommunikasjon
ELE2007;Tverrfaglig eksamen elenergi og ekom
ELE2102;Elenergi og ekom
ELE3004;Elektrikerfaget
ELE3103;Elektrikerfaget, skriftlig
EMO3004;Energimontørfaget
EMO3103;Energimontørfaget, skriftlig
ENG1007;Engelsk vg1 studieforberedende utdanningsprogram
ENG1008;Engelsk vg1 studieforberedende utdanningsprogram, muntlig
ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram
ENG1010;Engelsk vg1 yrkesfaglige utdanningsprogram, muntlig
ENG1011;Engelsk for elever med tegnspråk, vg1 studieforberedende utdanningsprogram
ENG1013;Engelsk for elever med tegnspråk, vg1 yrkesfaglige utdanningsprogram
EOP3004;Energioperatørfaget
EOP3103;Energioperatørfaget, skriftlig
ERF3004;Elektroreparatørfaget
ERF3103;Elektroreparatørfaget
FBI1001;Produktutvikling og produksjon
FBI1002;Kommunikasjon, kunde og arbeidsliv
FBI1003;Tverrfaglig eksamen, frisør, blomster, interiør og eksponeringsdesign, for privatister
FFA2004;Fartøy og redskaper
FFA2005;Fangst og kvalitet
FFA2006;Tverrfaglig eksamen fiske og fangst
FFA3004;Fiske og fangst
FFA3103;Fiske og fangst, skriftlig
FGY3004;Forgyllerfaget - særløp
FGY3103;Forgyllerfaget, skriftlig
FIL3004;Filigranssølvsmedfaget
FIL3103;Filigranssølvsmedfaget, skriftlig
FJE3004;Fjell- og bergverksfaget, fordypningsområde fjellsikring
FJE3005;Fjell- og bergverksfaget, fordypningsområde knuseverk
FJE3006;Fjell- og bergverksfaget, fordypningsområde bergsprenging
FJE3103;Fjell- og bergverksfaget, fordypningsområde fjellsikring, skriftlig
FJE3104;Fjell- og bergverksfaget, fordypningsområde knuseverk, skriftlig
FJE3105;Fjell- og bergverksfaget, fordypningsområde bergsprenging, skriftlig
FLY2013;Elektrofag
FLY2014;Luftfartøylære
FLY2015;Material- og komponentlære
FLY3014;Luftfartøysystemer
FLY3015;Luftfartøysystemer, part 66-11A(B1.1)
FLY3016;Luftfartøysystemer, part 66-12(B1.3-B1.4)
FLY3017;Luftfartøysystemer, part 66-15(B1)
FLY3018;Luftfartøysystemer, part 66-17(B1)
FLY3019;Vedlikeholdsteknikk
FLY3020;Vedlikeholdsteknikk, part 66-7A(B1)
FLY3021;Vedlikeholdsteknikk, part 66-7A Essay 1(B1)
FLY3022;Vedlikeholdsteknikk, part 66-7A Essay 2(B1)
FLY3023;Flysikkerhet
FLY3024;Flysikkerhet, part 66-9A(B1B2)
FLY3025;Flysikkerhet, part 66-9A Essay(B1B2)
FLY3026;Flysikkerhet, part 66-10(B1B2)
FLY3027;Flysikkerhet, part 66-10 Essay(B1B2)
FLY4001;Luftfartøysystemer, part 66-16
FLY4002;Luftfartøysystemer, part 66-11B
FMF3001;Fundamenteringsfaget
FMF3103;Fundamenteringsfaget, skriftlig
FMK3004;Finmekanikerfaget
